"","Node","group","group_color"
"1","ENZYME_1.1.1.1","None","#c7c7c7"
"2","ENZYME_1.1.1.100","Down_PDvHC","#1f77b4"
"3","ENZYME_1.1.1.103","None","#c7c7c7"
"4","ENZYME_1.1.1.122","None","#c7c7c7"
"5","ENZYME_1.1.1.125","Up_PDvHC","#aec7e8"
"6","ENZYME_1.1.1.127","Up_PDvHC","#aec7e8"
"7","ENZYME_1.1.1.130","Up_PDvHC","#aec7e8"
"8","ENZYME_1.1.1.132","None","#c7c7c7"
"9","ENZYME_1.1.1.133","None","#c7c7c7"
"10","ENZYME_1.1.1.14","Down_PDvHC","#1f77b4"
"11","ENZYME_1.1.1.140","None","#c7c7c7"
"12","ENZYME_1.1.1.157","None","#c7c7c7"
"13","ENZYME_1.1.1.159","None","#c7c7c7"
"14","ENZYME_1.1.1.169","None","#c7c7c7"
"15","ENZYME_1.1.1.17","Up_PDvBoth","#98df8a"
"16","ENZYME_1.1.1.170","Up_PDvHC","#aec7e8"
"17","ENZYME_1.1.1.18","None","#c7c7c7"
"18","ENZYME_1.1.1.188","Up_PDvHC","#aec7e8"
"19","ENZYME_1.1.1.193","None","#c7c7c7"
"20","ENZYME_1.1.1.2","Up_PDvHC","#aec7e8"
"21","ENZYME_1.1.1.202","Up_PDvHC","#aec7e8"
"22","ENZYME_1.1.1.205","None","#c7c7c7"
"23","ENZYME_1.1.1.21","None","#c7c7c7"
"24","ENZYME_1.1.1.22","None","#c7c7c7"
"25","ENZYME_1.1.1.23","None","#c7c7c7"
"26","ENZYME_1.1.1.25","None","#c7c7c7"
"27","ENZYME_1.1.1.251","Up_PDvHC","#aec7e8"
"28","ENZYME_1.1.1.26","None","#c7c7c7"
"29","ENZYME_1.1.1.261","Up_PDvHC","#aec7e8"
"30","ENZYME_1.1.1.262","None","#c7c7c7"
"31","ENZYME_1.1.1.264","Up_PDvHC","#aec7e8"
"32","ENZYME_1.1.1.267","None","#c7c7c7"
"33","ENZYME_1.1.1.27","None","#c7c7c7"
"34","ENZYME_1.1.1.271","None","#c7c7c7"
"35","ENZYME_1.1.1.272","None","#c7c7c7"
"36","ENZYME_1.1.1.274","Up_PDvBoth","#98df8a"
"37","ENZYME_1.1.1.276","None","#c7c7c7"
"38","ENZYME_1.1.1.28","None","#c7c7c7"
"39","ENZYME_1.1.1.282","Up_PDvHC","#aec7e8"
"40","ENZYME_1.1.1.284","None","#c7c7c7"
"41","ENZYME_1.1.1.29","None","#c7c7c7"
"42","ENZYME_1.1.1.290","None","#c7c7c7"
"43","ENZYME_1.1.1.298","Up_PDvHC","#aec7e8"
"44","ENZYME_1.1.1.3","None","#c7c7c7"
"45","ENZYME_1.1.1.304","None","#c7c7c7"
"46","ENZYME_1.1.1.31","Up_PDvHC","#aec7e8"
"47","ENZYME_1.1.1.34","None","#c7c7c7"
"48","ENZYME_1.1.1.346","Up_PDvHC","#aec7e8"
"49","ENZYME_1.1.1.35","None","#c7c7c7"
"50","ENZYME_1.1.1.350","None","#c7c7c7"
"51","ENZYME_1.1.1.36","None","#c7c7c7"
"52","ENZYME_1.1.1.369","None","#c7c7c7"
"53","ENZYME_1.1.1.37","None","#c7c7c7"
"54","ENZYME_1.1.1.373","Up_PDvHC","#aec7e8"
"55","ENZYME_1.1.1.38","None","#c7c7c7"
"56","ENZYME_1.1.1.381","Up_PDvHC","#aec7e8"
"57","ENZYME_1.1.1.40","Down_PDvHC","#1f77b4"
"58","ENZYME_1.1.1.41","None","#c7c7c7"
"59","ENZYME_1.1.1.42","None","#c7c7c7"
"60","ENZYME_1.1.1.44","None","#c7c7c7"
"61","ENZYME_1.1.1.46","Up_PDvHC","#aec7e8"
"62","ENZYME_1.1.1.47","Up_PDvPC","#ffbb78"
"63","ENZYME_1.1.1.49","None","#c7c7c7"
"64","ENZYME_1.1.1.57","None","#c7c7c7"
"65","ENZYME_1.1.1.58","None","#c7c7c7"
"66","ENZYME_1.1.1.6","Up_PDvPC","#ffbb78"
"67","ENZYME_1.1.1.60","Up_PDvBoth","#98df8a"
"68","ENZYME_1.1.1.61","None","#c7c7c7"
"69","ENZYME_1.1.1.67","Down_PDvHC","#1f77b4"
"70","ENZYME_1.1.1.69","Down_PDvHC","#1f77b4"
"71","ENZYME_1.1.1.77","Down_PDvHC","#1f77b4"
"72","ENZYME_1.1.1.79","Up_PDvHC","#aec7e8"
"73","ENZYME_1.1.1.81","None","#c7c7c7"
"74","ENZYME_1.1.1.83","None","#c7c7c7"
"75","ENZYME_1.1.1.85","None","#c7c7c7"
"76","ENZYME_1.1.1.86","None","#c7c7c7"
"77","ENZYME_1.1.1.88","Up_PDvBoth","#98df8a"
"78","ENZYME_1.1.1.91","Up_PDvHC","#aec7e8"
"79","ENZYME_1.1.1.93","None","#c7c7c7"
"80","ENZYME_1.1.1.94","None","#c7c7c7"
"81","ENZYME_1.1.1.95","None","#c7c7c7"
"82","ENZYME_1.1.2.4","Down_PDvHC","#1f77b4"
"83","ENZYME_1.1.3.15","None","#c7c7c7"
"84","ENZYME_1.1.3.21","Up_PDvHC","#aec7e8"
"85","ENZYME_1.1.5.2","Up_PDvHC","#aec7e8"
"86","ENZYME_1.1.5.3","None","#c7c7c7"
"87","ENZYME_1.1.5.4","Up_PDvHC","#aec7e8"
"88","ENZYME_1.1.5.6","None","#c7c7c7"
"89","ENZYME_1.1.99.1","Up_PDvHC","#aec7e8"
"90","ENZYME_1.1.99.33","None","#c7c7c7"
"91","ENZYME_1.10.3.10","None","#c7c7c7"
"92","ENZYME_1.10.3.14","None","#c7c7c7"
"93","ENZYME_1.11.1.1","None","#c7c7c7"
"94","ENZYME_1.11.1.10","None","#c7c7c7"
"95","ENZYME_1.11.1.15","None","#c7c7c7"
"96","ENZYME_1.11.1.5","Up_PDvHC","#aec7e8"
"97","ENZYME_1.11.1.6","None","#c7c7c7"
"98","ENZYME_1.12.2.1","None","#c7c7c7"
"99","ENZYME_1.12.7.2","None","#c7c7c7"
"100","ENZYME_1.12.98.1","Up_PDvHC","#aec7e8"
"101","ENZYME_1.12.98.2","None","#c7c7c7"
"102","ENZYME_1.12.99.6","Up_PDvHC","#aec7e8"
"103","ENZYME_1.13.11.15","None","#c7c7c7"
"104","ENZYME_1.13.11.16","None","#c7c7c7"
"105","ENZYME_1.13.11.24","Up_PDvHC","#aec7e8"
"106","ENZYME_1.13.11.29","Up_PDvHC","#aec7e8"
"107","ENZYME_1.13.11.3","None","#c7c7c7"
"108","ENZYME_1.13.11.53","None","#c7c7c7"
"109","ENZYME_1.13.11.54","None","#c7c7c7"
"110","ENZYME_1.13.12.16","None","#c7c7c7"
"111","ENZYME_1.14.11.17","Up_PDvHC","#aec7e8"
"112","ENZYME_1.14.11.33","None","#c7c7c7"
"113","ENZYME_1.14.12.17","Up_PDvHC","#aec7e8"
"114","ENZYME_1.14.12.19","None","#c7c7c7"
"115","ENZYME_1.14.13.127","None","#c7c7c7"
"116","ENZYME_1.14.13.39","None","#c7c7c7"
"117","ENZYME_1.14.13.81","None","#c7c7c7"
"118","ENZYME_1.14.14.5","None","#c7c7c7"
"119","ENZYME_1.14.14.9","None","#c7c7c7"
"120","ENZYME_1.14.99.46","None","#c7c7c7"
"121","ENZYME_1.15.1.1","None","#c7c7c7"
"122","ENZYME_1.15.1.2","None","#c7c7c7"
"123","ENZYME_1.16.1.1","None","#c7c7c7"
"124","ENZYME_1.16.1.3","Up_PDvHC","#aec7e8"
"125","ENZYME_1.16.1.9","Up_PDvHC","#aec7e8"
"126","ENZYME_1.16.3.1","None","#c7c7c7"
"127","ENZYME_1.16.3.2","None","#c7c7c7"
"128","ENZYME_1.17.1.2","Down_PDvHC","#1f77b4"
"129","ENZYME_1.17.1.4","None","#c7c7c7"
"130","ENZYME_1.17.1.8","None","#c7c7c7"
"131","ENZYME_1.17.4.1","None","#c7c7c7"
"132","ENZYME_1.17.4.2","None","#c7c7c7"
"133","ENZYME_1.17.7.3","None","#c7c7c7"
"134","ENZYME_1.17.99.5","Up_PDvBoth","#98df8a"
