"","Node","group","group_color"
"1","K00001","Up_PDvHC","#aec7e8"
"2","K00003","None","#c7c7c7"
"3","K00005","Up_PDvBoth","#98df8a"
"4","K00008","Down_PDvHC","#1f77b4"
"5","K00009","None","#c7c7c7"
"6","K00010","None","#c7c7c7"
"7","K00012","None","#c7c7c7"
"8","K00013","None","#c7c7c7"
"9","K00014","Up_PDvPC","#ffbb78"
"10","K00016","Up_PDvHC","#aec7e8"
"11","K00018","None","#c7c7c7"
"12","K00020","Up_PDvPC","#ffbb78"
"13","K00021","None","#c7c7c7"
"14","K00024","None","#c7c7c7"
"15","K00027","None","#c7c7c7"
"16","K00029","None","#c7c7c7"
"17","K00030","None","#c7c7c7"
"18","K00031","None","#c7c7c7"
"19","K00033","None","#c7c7c7"
"20","K00034","Up_PDvBoth","#98df8a"
"21","K00036","None","#c7c7c7"
"22","K00040","Down_PDvPC","#ff7f0e"
"23","K00041","None","#c7c7c7"
"24","K00042","None","#c7c7c7"
"25","K00045","Down_PDvHC","#1f77b4"
"26","K00046","Down_PDvBoth","#2ca02c"
"27","K00048","Down_PDvHC","#1f77b4"
"28","K00050","None","#c7c7c7"
"29","K00052","None","#c7c7c7"
"30","K00053","None","#c7c7c7"
"31","K00054","Up_PDvPC","#ffbb78"
"32","K00055","Up_PDvPC","#ffbb78"
"33","K00057","Up_PDvBoth","#98df8a"
"34","K00058","None","#c7c7c7"
"35","K00059","Down_PDvHC","#1f77b4"
"36","K00060","Up_PDvHC","#aec7e8"
"37","K00065","None","#c7c7c7"
"38","K00067","None","#c7c7c7"
"39","K00068","None","#c7c7c7"
"40","K00073","None","#c7c7c7"
"41","K00074","Down_PDvPC","#ff7f0e"
"42","K00075","None","#c7c7c7"
"43","K00076","Up_PDvHC","#aec7e8"
"44","K00077","None","#c7c7c7"
"45","K00087","Up_PDvHC","#aec7e8"
"46","K00088","None","#c7c7c7"
"47","K00090","Up_PDvHC","#aec7e8"
"48","K00094","Up_PDvHC","#aec7e8"
"49","K00096","Down_PDvHC","#1f77b4"
"50","K00097","None","#c7c7c7"
"51","K00098","Up_PDvHC","#aec7e8"
"52","K00099","None","#c7c7c7"
"53","K00100","None","#c7c7c7"
"54","K00101","Up_PDvBoth","#98df8a"
"55","K00104","Up_PDvHC","#aec7e8"
"56","K00105","None","#c7c7c7"
"57","K00108","Up_PDvHC","#aec7e8"
"58","K00111","None","#c7c7c7"
"59","K00112","None","#c7c7c7"
"60","K00113","None","#c7c7c7"
"61","K00116","Up_PDvHC","#aec7e8"
"62","K00117","Up_PDvHC","#aec7e8"
"63","K00121","None","#c7c7c7"
"64","K00123","Up_PDvBoth","#98df8a"
"65","K00124","None","#c7c7c7"
"66","K00125","Up_PDvHC","#aec7e8"
"67","K00127","None","#c7c7c7"
"68","K00128","None","#c7c7c7"
"69","K00130","None","#c7c7c7"
"70","K00133","None","#c7c7c7"
"71","K00134","None","#c7c7c7"
"72","K00135","Up_PDvBoth","#98df8a"
"73","K00137","Up_PDvHC","#aec7e8"
"74","K00138","Up_PDvHC","#aec7e8"
"75","K00145","Down_PDvHC","#1f77b4"
"76","K00146","None","#c7c7c7"
"77","K00147","None","#c7c7c7"
"78","K00150","None","#c7c7c7"
"79","K00151","None","#c7c7c7"
"80","K00156","Up_PDvHC","#aec7e8"
"81","K00158","Up_PDvPC","#ffbb78"
"82","K00161","Up_PDvBoth","#98df8a"
"83","K00162","Up_PDvBoth","#98df8a"
"84","K00163","None","#c7c7c7"
"85","K00164","Up_PDvHC","#aec7e8"
"86","K00169","None","#c7c7c7"
"87","K00170","None","#c7c7c7"
"88","K00171","None","#c7c7c7"
"89","K00172","None","#c7c7c7"
"90","K00174","None","#c7c7c7"
"91","K00175","Down_PDvHC","#1f77b4"
"92","K00176","None","#c7c7c7"
"93","K00177","None","#c7c7c7"
"94","K00179","Down_PDvBoth","#2ca02c"
"95","K00180","Down_PDvHC","#1f77b4"
"96","K00184","Up_PDvBoth","#98df8a"
"97","K00185","Up_PDvHC","#aec7e8"
"98","K00187","Up_PDvHC","#aec7e8"
"99","K00188","None","#c7c7c7"
"100","K00194","None","#c7c7c7"
"101","K00196","Down_PDvHC","#1f77b4"
"102","K00198","None","#c7c7c7"
"103","K00200","Up_PDvHC","#aec7e8"
"104","K00201","Up_PDvHC","#aec7e8"
"105","K00202","Up_PDvHC","#aec7e8"
"106","K00203","Up_PDvHC","#aec7e8"
"107","K00204","None","#c7c7c7"
"108","K00205","Up_PDvHC","#aec7e8"
"109","K00208","Up_PDvHC","#aec7e8"
"110","K00209","None","#c7c7c7"
"111","K00210","Down_PDvHC","#1f77b4"
"112","K00215","None","#c7c7c7"
"113","K00216","None","#c7c7c7"
"114","K00219","Up_PDvHC","#aec7e8"
"115","K00226","None","#c7c7c7"
"116","K00228","Up_PDvHC","#aec7e8"
"117","K00230","None","#c7c7c7"
"118","K00231","Up_PDvHC","#aec7e8"
"119","K00239","Up_PDvHC","#aec7e8"
"120","K00240","Down_PDvHC","#1f77b4"
"121","K00241","Up_PDvHC","#aec7e8"
"122","K00242","Up_PDvBoth","#98df8a"
"123","K00243","None","#c7c7c7"
"124","K00244","Up_PDvHC","#aec7e8"
"125","K00245","Up_PDvBoth","#98df8a"
"126","K00246","None","#c7c7c7"
"127","K00247","None","#c7c7c7"
"128","K00248","Down_PDvPC","#ff7f0e"
"129","K00254","Up_PDvHC","#aec7e8"
"130","K00257","None","#c7c7c7"
"131","K00259","None","#c7c7c7"
"132","K00260","None","#c7c7c7"
"133","K00261","None","#c7c7c7"
"134","K00262","None","#c7c7c7"
"135","K00265","None","#c7c7c7"
"136","K00266","None","#c7c7c7"
"137","K00275","None","#c7c7c7"
"138","K00278","None","#c7c7c7"
"139","K00281","Up_PDvHC","#aec7e8"
"140","K00284","None","#c7c7c7"
"141","K00285","Up_PDvBoth","#98df8a"
"142","K00286","None","#c7c7c7"
"143","K00287","Down_PDvHC","#1f77b4"
"144","K00290","Down_PDvPC","#ff7f0e"
"145","K00294","None","#c7c7c7"
"146","K00297","None","#c7c7c7"
"147","K00299","Up_PDvHC","#aec7e8"
"148","K00303","None","#c7c7c7"
"149","K00313","Up_PDvHC","#aec7e8"
"150","K00319","None","#c7c7c7"
"151","K00320","Up_PDvHC","#aec7e8"
"152","K00322","Up_PDvHC","#aec7e8"
"153","K00324","Up_PDvHC","#aec7e8"
"154","K00325","Up_PDvHC","#aec7e8"
"155","K00330","None","#c7c7c7"
"156","K00331","None","#c7c7c7"
"157","K00332","Up_PDvHC","#aec7e8"
"158","K00333","Up_PDvHC","#aec7e8"
"159","K00334","None","#c7c7c7"
"160","K00335","Up_PDvBoth","#98df8a"
"161","K00336","Up_PDvHC","#aec7e8"
"162","K00337","None","#c7c7c7"
"163","K00338","None","#c7c7c7"
"164","K00339","None","#c7c7c7"
"165","K00340","None","#c7c7c7"
"166","K00341","None","#c7c7c7"
"167","K00342","None","#c7c7c7"
"168","K00343","None","#c7c7c7"
"169","K00344","Up_PDvHC","#aec7e8"
"170","K00346","None","#c7c7c7"
"171","K00347","Down_PDvHC","#1f77b4"
"172","K00348","None","#c7c7c7"
"173","K00349","None","#c7c7c7"
"174","K00350","None","#c7c7c7"
"175","K00351","None","#c7c7c7"
"176","K00355","None","#c7c7c7"
"177","K00362","None","#c7c7c7"
"178","K00363","Up_PDvBoth","#98df8a"
"179","K00364","Up_PDvBoth","#98df8a"
"180","K00366","Up_PDvHC","#aec7e8"
"181","K00368","None","#c7c7c7"
"182","K00370","None","#c7c7c7"
