"","Node","group","group_color"
"1","s__Methanobrevibacter_smithii","None","#c7c7c7"
"2","s__Bifidobacterium_adolescentis","Up_PDvHC","#aec7e8"
"3","s__Bifidobacterium_bifidum","None","#c7c7c7"
"4","s__Bifidobacterium_longum","Up_PDvBoth","#98df8a"
"5","s__Adlercreutzia_equolifaciens","None","#c7c7c7"
"6","s__Collinsella_aerofaciens","None","#c7c7c7"
"7","s__Eggerthella_unclassified","Up_PDvPC","#ffbb78"
"8","s__Gordonibacter_pamelaeae","Up_PDvPC","#ffbb78"
"9","s__Bacteroides_caccae","None","#c7c7c7"
"10","s__Bacteroides_cellulosilyticus","None","#c7c7c7"
"11","s__Bacteroides_clarus","None","#c7c7c7"
"12","s__Bacteroides_dorei","None","#c7c7c7"
"13","s__Bacteroides_eggerthii","None","#c7c7c7"
"14","s__Bacteroides_faecis","None","#c7c7c7"
"15","s__Bacteroides_finegoldii","None","#c7c7c7"
"16","s__Bacteroides_fragilis","None","#c7c7c7"
"17","s__Bacteroides_intestinalis","None","#c7c7c7"
"18","s__Bacteroides_massiliensis","None","#c7c7c7"
"19","s__Bacteroides_nordii","None","#c7c7c7"
"20","s__Bacteroides_ovatus","None","#c7c7c7"
"21","s__Bacteroides_salyersiae","None","#c7c7c7"
"22","s__Bacteroides_stercoris","Down_PDvHC","#1f77b4"
"23","s__Bacteroides_thetaiotaomicron","None","#c7c7c7"
"24","s__Bacteroides_uniformis","None","#c7c7c7"
"25","s__Bacteroides_vulgatus","None","#c7c7c7"
"26","s__Bacteroides_xylanisolvens","None","#c7c7c7"
"27","s__Bacteroidales_bacterium_ph8","None","#c7c7c7"
"28","s__Barnesiella_intestinihominis","None","#c7c7c7"
"29","s__Coprobacter_fastidiosus","None","#c7c7c7"
"30","s__Odoribacter_laneus","None","#c7c7c7"
"31","s__Odoribacter_splanchnicus","None","#c7c7c7"
"32","s__Odoribacter_unclassified","None","#c7c7c7"
"33","s__Parabacteroides_distasonis","None","#c7c7c7"
"34","s__Parabacteroides_goldsteinii","None","#c7c7c7"
"35","s__Parabacteroides_johnsonii","None","#c7c7c7"
"36","s__Parabacteroides_merdae","None","#c7c7c7"
"37","s__Parabacteroides_unclassified","None","#c7c7c7"
"38","s__Paraprevotella_clara","None","#c7c7c7"
"39","s__Paraprevotella_unclassified","None","#c7c7c7"
"40","s__Paraprevotella_xylaniphila","None","#c7c7c7"
"41","s__Prevotella_copri","None","#c7c7c7"
"42","s__Alistipes_finegoldii","None","#c7c7c7"
"43","s__Alistipes_indistinctus","None","#c7c7c7"
"44","s__Alistipes_onderdonkii","None","#c7c7c7"
"45","s__Alistipes_putredinis","None","#c7c7c7"
"46","s__Alistipes_senegalensis","None","#c7c7c7"
"47","s__Alistipes_shahii","None","#c7c7c7"
"48","s__Alistipes_sp_AP11","None","#c7c7c7"
"49","s__Alistipes_unclassified","None","#c7c7c7"
"50","s__Streptococcus_parasanguinis","Up_PDvPC","#ffbb78"
"51","s__Streptococcus_salivarius","Up_PDvPC","#ffbb78"
"52","s__Streptococcus_thermophilus","None","#c7c7c7"
"53","s__Clostridiaceae_bacterium_JC118","None","#c7c7c7"
"54","s__Clostridium_asparagiforme","None","#c7c7c7"
"55","s__Clostridium_bolteae","Up_PDvPC","#ffbb78"
"56","s__Clostridium_citroniae","None","#c7c7c7"
"57","s__Clostridium_hathewayi","None","#c7c7c7"
"58","s__Clostridium_leptum","None","#c7c7c7"
"59","s__Clostridium_nexile","None","#c7c7c7"
"60","s__Clostridium_symbiosum","None","#c7c7c7"
"61","s__Clostridiales_bacterium_1_7_47FAA","None","#c7c7c7"
"62","s__Flavonifractor_plautii","Up_PDvPC","#ffbb78"
"63","s__Eubacterium_eligens","Down_PDvPC","#ff7f0e"
"64","s__Eubacterium_hallii","None","#c7c7c7"
"65","s__Eubacterium_ramulus","None","#c7c7c7"
"66","s__Eubacterium_rectale","Down_PDvHC","#1f77b4"
"67","s__Eubacterium_siraeum","Down_PDvHC","#1f77b4"
"68","s__Eubacterium_sp_3_1_31","None","#c7c7c7"
"69","s__Eubacterium_ventriosum","None","#c7c7c7"
"70","s__Anaerostipes_hadrus","None","#c7c7c7"
"71","s__Blautia_hydrogenotrophica","Up_PDvPC","#ffbb78"
"72","s__Ruminococcus_gnavus","None","#c7c7c7"
"73","s__Ruminococcus_obeum","None","#c7c7c7"
"74","s__Ruminococcus_torques","None","#c7c7c7"
"75","s__Coprococcus_catus","None","#c7c7c7"
"76","s__Coprococcus_comes","None","#c7c7c7"
"77","s__Coprococcus_sp_ART55_1","None","#c7c7c7"
"78","s__Dorea_formicigenerans","None","#c7c7c7"
"79","s__Dorea_longicatena","None","#c7c7c7"
"80","s__Dorea_unclassified","None","#c7c7c7"
"81","s__Lachnospiraceae_bacterium_1_1_57FAA","None","#c7c7c7"
"82","s__Lachnospiraceae_bacterium_1_4_56FAA","None","#c7c7c7"
"83","s__Lachnospiraceae_bacterium_2_1_58FAA","None","#c7c7c7"
"84","s__Lachnospiraceae_bacterium_3_1_46FAA","None","#c7c7c7"
"85","s__Lachnospiraceae_bacterium_3_1_57FAA_CT1","Up_PDvPC","#ffbb78"
"86","s__Lachnospiraceae_bacterium_5_1_63FAA","None","#c7c7c7"
"87","s__Lachnospiraceae_bacterium_7_1_58FAA","None","#c7c7c7"
"88","s__Lachnospiraceae_bacterium_8_1_57FAA","None","#c7c7c7"
"89","s__Roseburia_hominis","None","#c7c7c7"
"90","s__Roseburia_intestinalis","None","#c7c7c7"
"91","s__Roseburia_inulinivorans","Down_PDvHC","#1f77b4"
"92","s__Roseburia_unclassified","None","#c7c7c7"
"93","s__Oscillibacter_unclassified","None","#c7c7c7"
"94","s__Clostridium_bartlettii","None","#c7c7c7"
"95","s__Peptostreptococcaceae_noname_unclassified","None","#c7c7c7"
"96","s__Anaerotruncus_colihominis","None","#c7c7c7"
"97","s__Anaerotruncus_unclassified","None","#c7c7c7"
"98","s__Faecalibacterium_prausnitzii","Down_PDvPC","#ff7f0e"
"99","s__Ruminococcaceae_bacterium_D16","None","#c7c7c7"
"100","s__Ruminococcus_bromii","None","#c7c7c7"
