"","Euryarchaeota","Actinobacteria","Bacteroidetes","Firmicutes","Proteobacteria","Verrucomicrobia","Viruses_noname"
"PD.10.HC",0,0.05905,79.86284,19.39111,0.687,0,0
"PD.10.PC",0,0.7081,59.67359,36.32835,2.18087,1.09851,0.01063
"PD.10",0,1.09023,83.6876,13.52363,1.68711,0,0.0114
"PD.11.HC",0,0.1112,86.36306,11.90783,1.30028,0.31764,0
"PD.11.PC",0,0.23132,87.84163,11.79505,0.13197,0,0
"PD.11",0,0.38847,85.93091,8.35145,0.58922,4.73997,0
"PD.12.HC",0,0.10552,69.00981,25.15297,0.86578,4.83955,0.02637
"PD.12.PC",0,0.26416,55.24698,36.94995,6.05271,1.48619,0
"PD.12",0,0.08916,88.95685,10.91894,0.03504,0,0
"PD.13.HC",0.03159,0.03927,66.6675,31.70612,0.63194,0.13857,0
"PD.13.PC",0.07314,0.07529,90.13944,7.12234,0.78488,1.8049,0
"PD.13",0.05804,0.13854,46.5367,52.49367,0.59978,0.17325,0
"PD.14.HC",0,0.07552,73.28263,25.85044,0.79143,0,0
"PD.14.PC",0,0.0704,85.1834,14.03194,0.08632,0,0
"PD.14",0,4.07201,24.81924,41.20758,3.56685,26.322,0.01232
"PD.15.HC",0.71785,0.93561,66.71646,29.3041,1.38758,0.93068,0.00767
"PD.15.PC",0,0.14812,86.0083,11.66335,0,2.18024,0
"PD.15",0,0.39791,87.7157,10.9707,0.91569,0,0
"PD.16.HC",0,0.44916,67.2231,23.53739,0.61977,7.94524,0.22533
"PD.16.PC",0,0.83277,62.03937,36.57038,0.55746,0,0
"PD.16",0.91709,6.65576,33.41614,26.66788,0.37128,31.97185,0
"PD.17.HC",0.12469,2.38225,60.18065,30.07698,1.26046,5.97497,0
"PD.17.PC",0.26105,0.05643,38.17908,52.14936,0.41314,8.64786,0
"PD.17",0.18538,2.05036,81.44709,14.01979,0.56554,1.73186,0
"PD.18.HC",0.85328,0.37975,69.26684,28.66954,0.09548,0.64949,0.03592
"PD.18.PC",0,0.01286,76.16675,22.2666,0.01562,0.97016,0
"PD.18",1.02762,1.549,57.56574,21.6972,0.34093,17.48976,0.32973
"PD.19.HC",0,1.68576,73.80967,18.03495,1.20917,4.42288,0
"PD.19.PC",0,0.09341,68.57537,19.42941,7.34609,4.55572,0
"PD.19",0,2.22066,69.47916,22.45135,0.86669,4.96246,0
"PD.1.HC",0.24274,0.71248,49.02178,48.38727,1.37001,0,0
"PD.1.PC",0,0.02083,71.85009,25.28635,2.84276,0,0
"PD.1",0.12708,0.47767,44.81954,40.2408,0.97622,13.3441,0
"PD.20.HC",0,0.33202,57.28082,42.03339,0.15629,0.19747,0
"PD.20.PC",0,0.46795,60.88281,36.11801,1.56431,0,0
"PD.20",0,0.48272,50.99464,47.52508,0,0.99753,0
"PD.21.HC",0.36639,0.0508,70.80159,17.78703,0.33634,10.64305,0
"PD.21.PC",0,1.31656,86.24234,10.37062,2.05442,0.01603,0
"PD.21",0,2.04188,72.11682,11.61268,3.38881,10.657,0.18279
"PD.22.HC",0,0,65.18833,34.38179,0.38401,0.04587,0
"PD.22.PC",0,0.48788,81.24512,17.92954,0.1499,0.08011,0
"PD.22",0,0.05126,71.72324,9.60686,0.54915,18.06947,0
"PD.23.HC",0,0.55109,65.48582,26.82192,1.55209,5.58906,0
"PD.23.PC",0,0.20695,87.06166,9.02374,0.75921,2.9484,0
"PD.23",0,1.13086,56.46401,38.67711,1.75147,1.97653,0
"PD.24.HC",0,0.25798,68.42973,30.63732,0.25356,0.42141,0
"PD.24.PC",0,3.69537,63.35782,31.1159,1.72549,0.02923,0.07619
"PD.24",13.83964,0.60225,55.67942,25.54923,3.26821,0,0
"PD.25.HC",0,0,73.6587,24.02981,0.02279,0,0
"PD.25.PC",0,0.23084,52.34039,46.69915,0.35406,0.34606,0.02948
"PD.25",0.44732,0.0387,77.23926,21.18085,0.29868,0.63096,0.02009
"PD.26.HC",0,3.31354,72.98464,23.45655,0.12041,0,0
"PD.26.PC",0,0.61833,77.95672,15.74251,4.04862,1.63385,0
"PD.26",0,19.62261,20.18526,50.49695,4.34095,0,5.35421
"PD.27.HC",0.68547,0.15969,69.66534,24.91892,4.13473,0.43587,0
"PD.27.PC",8.4418,2.28231,49.92873,22.5987,0.47049,16.27794,0
"PD.27",0.63047,0.52496,73.93825,22.17742,0.90115,1.82773,0
"PD.28.HC",0,0.04795,69.99939,27.12696,0.96336,1.86233,0
"PD.28.PC",2.28243,0.32988,42.1818,50.79257,0.14993,3.87289,0
"PD.28",0,0.10552,92.39248,5.97858,1.36593,0,0.1575
"PD.29.HC",0,1.74393,30.93205,65.39111,1.81008,0.12285,0
"PD.29.PC",0,0.02297,84.9081,13.07972,1.62531,0.24015,0.12374
"PD.29",0,2.46099,17.9621,71.33678,6.72922,0,1.50985
"PD.2.HC",0.83846,1.1325,63.11046,33.94341,0.45741,0.51776,0
"PD.2.PC",0,0.17787,83.29358,14.52409,1.80307,0.20141,0
"PD.2",1.86341,9.35809,43.9207,42.18074,1.32358,1.3535,0
"PD.30.PC",0,0.09118,84.34407,12.59817,0.13277,2.01036,0
"PD.30",1.73888,0.10043,62.16477,35.9022,0.09376,0,0
"PD.31.PC",0,0.17053,75.93567,22.42029,0.98087,0,0
"PD.31",0,2.63789,49.3169,19.87869,18.67822,9.4761,0
"PD.32.PC",0,0.52614,66.2378,32.74785,0.13111,0.35712,0
"PD.32",10.38393,18.12062,36.33343,18.4129,0.75109,15.97201,0.00996
"PD.33.PC",0,0.24097,56.45586,41.13717,2.16599,0,0
"PD.33",0,0.21888,94.07474,5.47184,0.12305,0.11147,0
"PD.34.PC",0,1.42186,66.35409,27.26978,0.85951,4.09475,0
"PD.34",0,12.57099,54.1522,29.13373,2.03523,0.00164,2.09783
"PD.35.PC",0,7.71244,41.89382,49.3831,0,1.01066,0
"PD.35",10.42115,4.17903,20.81247,45.70831,1.05921,17.81979,0
"PD.36.PC",0,1.08472,46.45349,47.42358,4.97526,0,0
"PD.36",0,1.1545,53.72999,43.94639,1.1691,0,0
"PD.37.PC",0,1.27737,57.508,40.83212,0.38248,0,0
"PD.37",0,7.00912,73.04584,18.48479,0.47296,0.98728,0
"PD.38.PC",0,0.94802,56.20343,42.44775,0.40079,0,0
"PD.38",0,2.91886,73.90982,22.2449,0.92641,0,0
"PD.39.PC",0,0.15739,58.1555,40.56081,1.12629,0,0
"PD.39",0.91533,0.21587,73.52987,24.77571,0.25028,0.19597,0
"PD.3.HC",0,0.04445,85.3044,13.95887,0.58544,0.10009,0
"PD.3.PC",0,0.05572,94.62771,4.37647,0.94013,0,0
"PD.3",3.5492,1.60407,39.40281,51.59702,2.92613,0.91207,0
"PD.40.PC",0,0.3021,58.54408,40.01712,0.69329,0,0
"PD.40",2.4966,0.75049,74.95795,20.4134,1.15038,0.05797,0.17321
"PD.41.PC",5.02255,11.86383,18.63243,63.733,0.5205,0,0.22771
"PD.41",0,13.30831,2.90123,83.59169,0.16206,0.03297,0
"PD.42",0,0.34714,44.96353,46.97514,0.76595,6.94827,0
"PD.43",0,1.32658,55.88277,36.22986,1.1337,4.48727,0.93986
"PD.44",5.98519,2.87092,25.28094,65.05368,0.51619,0.27662,0
"PD.45",0,1.70884,26.62406,71.26373,0.39995,0,0
"PD.46",0,3.47627,30.95267,56.90211,0,8.5474,0.12156
"PD.47",0,0.49879,63.8414,28.26098,0.88171,6.42898,0.03855
"PD.48",2.83155,2.78939,56.3248,27.53409,1.17244,9.32605,0
"PD.4.HC",0.24645,0.47846,77.04948,21.67125,0.40461,0.13042,0.01933
"PD.4.PC",0,0.07304,39.26885,42.43622,4.07844,14.14345,0
"PD.4",0.21286,0.05378,57.87126,12.98854,1.83352,27.04002,0
"PD.5.HC",0,0.07755,86.88726,9.82237,0.26566,2.94716,0
"PD.5.PC",0.99432,0.47487,64.30032,33.50128,0.58753,0,0.04651
"PD.5",0.48589,1.20183,76.53036,16.51161,1.49048,3.77984,0
"PD.6.HC",0,0.22406,69.4581,28.8653,0.95775,0,0
"PD.6.PC",1.135,0.44091,33.71493,53.5996,3.22318,7.88637,0
"PD.6",0.99571,1.45103,39.89864,42.45613,0.76195,14.4366,0
"PD.7.HC",0.5817,0.86324,75.35425,22.61504,0.28735,0.29842,0
"PD.7.PC",2.30946,0.0198,48.39122,45.40211,1.91263,1.86159,0
"PD.7",0.86609,1.34577,35.96048,58.86731,2.79416,0.0571,0.10913
"PD.8.HC",0,0.19039,83.62153,16.10042,0.064,0.02363,0
"PD.8.PC",0,0.18503,56.05996,34.05479,0.7468,8.79601,0.06359
"PD.8",0,0.9072,92.98698,4.3601,0.07333,0,0
"PD.9.HC",0,0.2908,77.13196,21.58131,0.23327,0.60138,0.16125
"PD.9.PC",0.8353,0.45382,71.18119,25.94516,1.12816,0.332,0
"PD.9",0,2.20774,0.01196,70.51834,26.8042,0,0.34014
