"","Node","group","group_color"
"1","PATHWAY_1CMET2_PWY._N10_formyl_tetrahydrofolate_biosynthesis","None","#c7c7c7"
"2","PATHWAY_ANAEROFRUCAT_PWY._homolactic_fermentation","Down_PDvHC","#1f77b4"
"3","PATHWAY_ANAGLYCOLYSIS_PWY._glycolysis_III_(from_glucose)","None","#c7c7c7"
"4","PATHWAY_ARG+POLYAMINE_SYN._superpathway_of_arginine_and_polyamine_biosynthesis","None","#c7c7c7"
"5","PATHWAY_ARGDEG_PWY._superpathway_of_L_arginine,_putrescine,_and_4_aminobutanoate_degradation","None","#c7c7c7"
"6","PATHWAY_ARGININE_SYN4_PWY._L_ornithine_de_novo__biosynthesis","Down_PDvHC","#1f77b4"
"7","PATHWAY_ARGORNPROST_PWY._arginine,_ornithine_and_proline_interconversion","None","#c7c7c7"
"8","PATHWAY_ARGSYN_PWY._L_arginine_biosynthesis_I_(via_L_ornithine)","None","#c7c7c7"
"9","PATHWAY_ARGSYNBSUB_PWY._L_arginine_biosynthesis_II_(acetyl_cycle)","None","#c7c7c7"
"10","PATHWAY_ARO_PWY._chorismate_biosynthesis_I","None","#c7c7c7"
"11","PATHWAY_ASPASN_PWY._superpathway_of_L_aspartate_and_L_asparagine_biosynthesis","None","#c7c7c7"
"12","PATHWAY_AST_PWY._L_arginine_degradation_II_(AST_pathway)","None","#c7c7c7"
"13","PATHWAY_BIOTIN_BIOSYNTHESIS_PWY._biotin_biosynthesis_I","None","#c7c7c7"
"14","PATHWAY_BRANCHED_CHAIN_AA_SYN_PWY._superpathway_of_branched_amino_acid_biosynthesis","None","#c7c7c7"
"15","PATHWAY_CALVIN_PWY._Calvin_Benson_Bassham_cycle","Down_PDvHC","#1f77b4"
"16","PATHWAY_CENTFERM_PWY._pyruvate_fermentation_to_butanoate","None","#c7c7c7"
"17","PATHWAY_CITRULBIO_PWY._L_citrulline_biosynthesis","None","#c7c7c7"
"18","PATHWAY_COA_PWY_1._coenzyme_A_biosynthesis_II_(mammalian)","None","#c7c7c7"
"19","PATHWAY_COA_PWY._coenzyme_A_biosynthesis_I","Up_PDvBoth","#98df8a"
"20","PATHWAY_COBALSYN_PWY._adenosylcobalamin_salvage_from_cobinamide_I","Down_PDvBoth","#2ca02c"
"21","PATHWAY_COLANSYN_PWY._colanic_acid_building_blocks_biosynthesis","Down_PDvHC","#1f77b4"
"22","PATHWAY_COMPLETE_ARO_PWY._superpathway_of_aromatic_amino_acid_biosynthesis","None","#c7c7c7"
"23","PATHWAY_CRNFORCAT_PWY._creatinine_degradation_I","None","#c7c7c7"
"24","PATHWAY_DAPLYSINESYN_PWY._L_lysine_biosynthesis_I","None","#c7c7c7"
"25","PATHWAY_DENOVOPURINE2_PWY._superpathway_of_purine_nucleotides_de_novo_biosynthesis_II","None","#c7c7c7"
"26","PATHWAY_DTDPRHAMSYN_PWY._dTDP_L_rhamnose_biosynthesis_I","Down_PDvHC","#1f77b4"
"27","PATHWAY_ECASYN_PWY._enterobacterial_common_antigen_biosynthesis","Up_PDvHC","#aec7e8"
"28","PATHWAY_ENTBACSYN_PWY._enterobactin_biosynthesis","Up_PDvBoth","#98df8a"
"29","PATHWAY_FAO_PWY._fatty_acid_&beta;_oxidation_I","None","#c7c7c7"
