metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
description	s__Eubacterium_rectale	Household Control	0.0826440341772082	0.0202083115100419	58	46	0.000330310070689106	0.0320400768568433
description	s__Bacteroides_stercoris	Household Control	0.119010497163034	0.0337777825134948	58	31	0.00148356272487299	0.0479685281042267
description	s__Roseburia_inulinivorans	Household Control	0.0426228469589461	0.0123915697770698	58	48	0.00110682309754415	0.0479685281042267
description	s__Bifidobacterium_adolescentis	Household Control	-0.0396240183076713	0.0130591270680749	58	19	0.00516074068548087	0.106270009233618
description	s__Eubacterium_siraeum	Household Control	0.123455024260689	0.041012736422888	58	37	0.00547783552750607	0.106270009233618
description	s__Bifidobacterium_longum	Household Control	-0.0259431911866856	0.00919710796565473	58	29	0.00870706946115884	0.140764289622068
description	s__Bacteroides_massiliensis	Household Control	0.0331550268042511	0.0147411697346954	58	16	0.0325542310834212	0.242904647314758
description	s__Bacteroides_xylanisolvens	Household Control	0.020979216862646	0.00953232101091516	58	33	0.0318862017382349	0.242904647314758
description	s__Clostridium_asparagiforme	Household Control	-0.00838654491157041	0.0037967323919189	58	14	0.0312911628239434	0.242904647314758
description	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	Household Control	-0.0148420071801609	0.00675160026508891	58	19	0.032077598896981	0.242904647314758
description	s__Anaerotruncus_colihominis	Household Control	-0.00689614423658915	0.00287575286452009	58	15	0.0198412152963223	0.242904647314758
description	s__Escherichia_unclassified	Household Control	-0.0119837018656009	0.00508523310756811	58	25	0.0256735098660296	0.242904647314758
description	s__Akkermansia_muciniphila	Household Control	-0.0900607791321833	0.0391797846401193	58	43	0.0291986812517855	0.242904647314758
description	s__Bilophila_wadsworthia	Household Control	-0.00595074814573315	0.00271461817352904	58	22	0.0368481908586422	0.255305322377735
description	s__Roseburia_intestinalis	Household Control	0.0221666149348961	0.0105378023605955	58	36	0.039923824755965	0.25817406675524
description	s__Alistipes_putredinis	Household Control	0.0549317071089402	0.0263172849390546	58	49	0.0460835407374482	0.27938146572078
description	s__Paraprevotella_unclassified	Household Control	0.0402416841199025	0.0203703978814643	58	13	0.0581430122006985	0.288138359165162
description	s__Streptococcus_salivarius	Household Control	-0.0178321622327952	0.00923351305333666	58	31	0.0636334651842353	0.288138359165162
description	s__Clostridium_hathewayi	Household Control	-0.0081053089924366	0.00426596914284628	58	18	0.0677777179935375	0.288138359165162
description	s__Lachnospiraceae_bacterium_3_1_46FAA	Household Control	0.0128983082226753	0.00680284766174667	58	42	0.0683214666061725	0.288138359165162
description	s__Lachnospiraceae_bacterium_8_1_57FAA	Household Control	-0.0114627491331184	0.005794676313055	58	15	0.0528393907108924	0.288138359165162
description	s__Oxalobacter_formigenes	Household Control	-0.0057946261004265	0.00294842844283131	58	16	0.059366822882705	0.288138359165162
description	s__Escherichia_coli	Household Control	-0.035687413359675	0.018882203431095	58	25	0.0639374045144623	0.288138359165162
description	s__Coprobacillus_unclassified	Household Control	-0.00727316179807366	0.00395240045167621	58	13	0.0763634824766428	0.308635741676431
description	s__Parabacteroides_goldsteinii	Household Control	-0.0220434568539986	0.013057208936685	58	17	0.102478011821553	0.368161746173727
description	s__Eubacterium_ventriosum	Household Control	0.00975776038919223	0.00586649676651084	58	20	0.101839167271798	0.368161746173727
description	s__Anaerostipes_hadrus	Household Control	-0.0127378798444496	0.00752090542490047	58	33	0.101427236892559	0.368161746173727
description	s__Faecalibacterium_prausnitzii	Household Control	0.0208741969206013	0.0125441597048689	58	54	0.107254726641341	0.371561017293216
description	s__Methanobrevibacter_smithii	Household Control	-0.0292831803311479	0.0185946320427734	58	23	0.126531116917483	0.374757571797386
description	s__Collinsella_aerofaciens	Household Control	-0.01619314518503	0.0103097716032937	58	37	0.127494844013544	0.374757571797386
description	s__Bacteroides_thetaiotaomicron	Household Control	0.0439346572047942	0.0277184060426791	58	48	0.124188987162458	0.374757571797386
description	s__Odoribacter_splanchnicus	Household Control	0.0199898987665804	0.012456101799294	58	27	0.119753139910997	0.374757571797386
description	s__Veillonella_parvula	Household Control	-0.0292397187164663	0.018426430998915	58	17	0.118180880815751	0.374757571797386
description	s__Bilophila_unclassified	Household Control	-0.0119698323007351	0.00789708857099207	58	40	0.140797476128328	0.401686917189641
description	s__Veillonella_unclassified	Household Control	-0.0343029627814584	0.02323499178532	58	22	0.145451600410307	0.403108721137136
description	s__Alistipes_finegoldii	Household Control	-0.0222902457684073	0.0151057611101692	58	40	0.151205801674524	0.40741563228969
description	s__Parabacteroides_unclassified	Household Control	0.0304008385159008	0.0211281913153375	58	23	0.155751871101712	0.408322472888271
description	s__Bacteroides_ovatus	Household Control	0.0418382602202616	0.0303121686452469	58	49	0.178432027240346	0.433464951186227
description	s__Parabacteroides_distasonis	Household Control	0.034312856287547	0.025940691680269	58	39	0.196623276826742	0.433464951186227
description	s__Clostridium_bolteae	Household Control	-0.0135782249949524	0.0103297121186603	58	23	0.194042322512771	0.433464951186227
description	s__Roseburia_hominis	Household Control	-0.0170806202448147	0.0129735892293746	58	46	0.193346276902418	0.433464951186227
description	s__Peptostreptococcaceae_noname_unclassified	Household Control	-0.0182158784424753	0.0135805610706171	58	19	0.190595701764806	0.433464951186227
description	s__Parasutterella_excrementihominis	Household Control	-0.00728281276637845	0.00537039906615534	58	25	0.185902626124417	0.433464951186227
description	s__C2likevirus_unclassified	Household Control	-0.00755142778233551	0.00554546633922809	58	13	0.18413997843186	0.433464951186227
description	s__Oscillibacter_unclassified	Household Control	-0.0125677758245146	0.0097210870550673	58	57	0.206634140757411	0.445411370077086
description	s__Streptococcus_parasanguinis	Household Control	-0.0110115921904448	0.00891380177553894	58	21	0.221860967192723	0.45884203473546
description	s__Ruminococcus_lactaris	Household Control	0.015641568195393	0.0128063761264108	58	29	0.227055852240228	0.45884203473546
description	s__Subdoligranulum_unclassified	Household Control	-0.0372406156045874	0.0300542699642284	58	57	0.225590579763801	0.45884203473546
