metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
description	s__Eubacterium_rectale	Household Control	0.0826440341772082	0.0202083115100419	58	46	0.000330310070689106	0.0320400768568433
description	s__Bacteroides_stercoris	Household Control	0.119010497163034	0.0337777825134948	58	31	0.00148356272487299	0.0479685281042267
description	s__Roseburia_inulinivorans	Household Control	0.0426228469589461	0.0123915697770698	58	48	0.00110682309754415	0.0479685281042267
description	s__Bifidobacterium_adolescentis	Household Control	-0.0396240183076713	0.0130591270680749	58	19	0.00516074068548087	0.106270009233618
description	s__Eubacterium_siraeum	Household Control	0.123455024260689	0.041012736422888	58	37	0.00547783552750607	0.106270009233618
description	s__Bifidobacterium_longum	Household Control	-0.0259431911866856	0.00919710796565473	58	29	0.00870706946115884	0.140764289622068
description	s__Bacteroides_massiliensis	Household Control	0.0331550268042511	0.0147411697346954	58	16	0.0325542310834212	0.242904647314758
description	s__Bacteroides_xylanisolvens	Household Control	0.020979216862646	0.00953232101091516	58	33	0.0318862017382349	0.242904647314758
description	s__Clostridium_asparagiforme	Household Control	-0.00838654491157041	0.0037967323919189	58	14	0.0312911628239434	0.242904647314758
description	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	Household Control	-0.0148420071801609	0.00675160026508891	58	19	0.032077598896981	0.242904647314758
description	s__Anaerotruncus_colihominis	Household Control	-0.00689614423658915	0.00287575286452009	58	15	0.0198412152963223	0.242904647314758
description	s__Escherichia_unclassified	Household Control	-0.0119837018656009	0.00508523310756811	58	25	0.0256735098660296	0.242904647314758
description	s__Akkermansia_muciniphila	Household Control	-0.0900607791321833	0.0391797846401193	58	43	0.0291986812517855	0.242904647314758
