metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
description	s__Eggerthella_unclassified	Population Control	-0.0178294771206455	0.00460401409198912	89	24	0.000218946578776236	0.0416707885035667
description	s__Streptococcus_salivarius	Population Control	-0.0279262976469703	0.00771548538618277	89	45	0.000515727580489687	0.0416707885035667
description	s__Eubacterium_eligens	Population Control	0.0753022464970751	0.020129977343703	89	70	0.000343532492572207	0.0416707885035667
description	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	Population Control	-0.018379652061866	0.00500922848744331	89	25	0.000437137495887364	0.0416707885035667
description	s__Faecalibacterium_prausnitzii	Population Control	0.0743741550788057	0.0194601991154809	89	78	0.00026068639546739	0.0416707885035667
description	s__Clostridium_bolteae	Population Control	-0.0260855159301482	0.00801992140475945	89	32	0.00167566848039351	0.112828344346496
description	s__Bifidobacterium_longum	Population Control	-0.0444206917928206	0.0139689180273737	89	42	0.00209593268464261	0.120965257799373
description	s__Gordonibacter_pamelaeae	Population Control	-0.00943244029031453	0.00306323922844547	89	18	0.00284344672184664	0.127639163958449
sex	s__Prevotella_copri	male	0.113356137568371	0.0366623555609112	89	23	0.00273747599562375	0.127639163958449
description	s__Streptococcus_parasanguinis	Population Control	-0.017537905096581	0.00635113579158453	89	26	0.00713625668137681	0.262095245388748
description	s__Ruminococcus_callidus	Population Control	0.0226315044261455	0.00817533193429843	89	21	0.00700029148024205	0.262095245388748
description	s__Flavonifractor_plautii	Population Control	-0.00704031568277737	0.00262913591629355	89	25	0.00899005766947288	0.302665274872254
host_age	s__Bacteroides_caccae	host_age	-0.0345202769259131	0.0131677949388476	89	60	0.0104736438719052	0.319315790700808
host_age	s__Alistipes_onderdonkii	host_age	0.0365632764000184	0.0140687526871273	89	72	0.0111319945691063	0.319315790700808
description	s__Anaerotruncus_colihominis	Population Control	-0.00482856715275907	0.00187492634004748	89	19	0.0118557843081983	0.319315790700808
host_body_mass_index	s__Bacteroides_xylanisolvens	host_body_mass_index	0.0112146971697333	0.00444443894368136	89	50	0.0136065864982346	0.343566309080424
description	s__Sutterella_wadsworthensis	Population Control	0.0351828081681271	0.0140817149626583	89	24	0.0145217093129552	0.345104150731407
host_body_mass_index	s__Ruminococcus_torques	host_body_mass_index	0.0186626391121537	0.00772367845998391	89	87	0.0179570741460669	0.403036553056168
host_age	s__Bacteroides_ovatus	host_age	-0.0337287739740719	0.0142833335854949	89	78	0.0206381406495486	0.431971672134595
description	s__Odoribacter_splanchnicus	Population Control	0.0363811840948956	0.015499448904764	89	43	0.0213847362442869	0.431971672134595
host_age	s__Paraprevotella_unclassified	host_age	-0.0230778865866187	0.00997633835153849	89	20	0.0232769740378342	0.432533139251334
description	s__Streptococcus_thermophilus	Population Control	-0.0340215898918683	0.0148532430869683	89	34	0.0246244113930215	0.432533139251334
description	s__Ruminococcus_torques	Population Control	-0.0375163021354542	0.0163244217353302	89	87	0.0241634854163984	0.432533139251334
description	s__Bacteroides_caccae	Population Control	-0.0560588915656363	0.0250889388135856	89	60	0.0282465099901424	0.440522820667516
host_body_mass_index	s__Prevotella_copri	host_body_mass_index	-0.0404551488881903	0.0181636140775155	89	23	0.0287396960113342	0.440522820667516
host_age	s__Alistipes_finegoldii	host_age	0.0176382154468982	0.00794390159569862	89	58	0.0292243950742874	0.440522820667516
description	s__Escherichia_coli	Population Control	-0.0336437875063601	0.0151733822859679	89	40	0.0294408815792647	0.440522820667516
