metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
PD	s__Streptococcus_salivarius	Yes	0.0239562867948504	0.00564571467596867	118	58	5.43970417121255e-05	0.00452290232161604
PD	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	Yes	0.0147208900807109	0.00363090264291536	118	32	9.13717640730513e-05	0.00452290232161604
PD	s__Bifidobacterium_longum	Yes	0.035187574725961	0.00839507148810504	118	53	0.000174115417753652	0.00574580878587051
PD	s__Eggerthella_unclassified	Yes	0.0117576996200635	0.00357693811296282	118	34	0.00152030778551714	0.0259526029128256
PD	s__Eubacterium_eligens	Yes	-0.0496263758779864	0.0145330987392203	118	92	0.00157288502501973	0.0259526029128256
PD	s__Faecalibacterium_prausnitzii	Yes	-0.038150465164229	0.0112649979646115	118	107	0.00150545746424875	0.0259526029128256
PD	s__Bifidobacterium_adolescentis	Yes	0.0322457002416519	0.0106985040152149	118	43	0.00394936440392887	0.0390987075988958
PD	s__Streptococcus_parasanguinis	Yes	0.0140005544429517	0.00467450854912637	118	34	0.00350756377741712	0.0390987075988958
PD	s__Eubacterium_rectale	Yes	-0.0559981476201119	0.0182530249179758	118	96	0.00386031381540449	0.0390987075988958
PD	s__Escherichia_unclassified	Yes	0.0101600628450166	0.00339996760418602	118	49	0.00370619148048065	0.0390987075988958
PD	s__Clostridium_bolteae	Yes	0.0194143302778719	0.00678750837079422	118	40	0.00502088540658405	0.0401064360162472
PD	s__Roseburia_inulinivorans	Yes	-0.0264905779147346	0.00929405925430078	118	91	0.00517113420749263	0.0401064360162472
PD	s__Escherichia_coli	Yes	0.0300942964210824	0.0105815333590162	118	50	0.00526650169910317	0.0401064360162472
PD	s__Adlercreutzia_equolifaciens	Yes	0.00935299247719656	0.00340613766567357	118	50	0.00699633037579346	0.0456264209715096
PD	s__Bacteroides_massiliensis	Yes	-0.0355348615907425	0.0127034456811854	118	35	0.00783483996480467	0.0456264209715096
PD	s__Bacteroides_stercoris	Yes	-0.0745360296615789	0.0270388039798892	118	65	0.00767131869840571	0.0456264209715096
PD	s__Akkermansia_muciniphila	Yes	0.074287327850367	0.0265852085553227	118	84	0.00648837346596906	0.0456264209715096
PD	s__Odoribacter_splanchnicus	Yes	-0.0274207559406817	0.0102260726207106	118	59	0.00945795041266975	0.0520187272696836
PD	s__Coprobacillus_unclassified	Yes	0.00976569635843293	0.00380553484556805	118	24	0.0150784129301507	0.0785664673728904
PD	s__Ruminococcus_gnavus	Yes	0.0281303125924212	0.0116665593436744	118	40	0.0180127288119387	0.0891630076190965
PD	s__Collinsella_aerofaciens	Yes	0.0197735539632833	0.00821486982741447	118	80	0.0191944091333857	0.0904879287716754
PD	s__Methanobrevibacter_smithii	Yes	0.0350136089498987	0.0150445110598559	118	39	0.0233572825565105	0.105107771504297
PD	s__Veillonella_parvula	Yes	0.0214322812419696	0.00952750216484214	118	30	0.0263663085227908	0.113489762772012
PD	s__Anaerostipes_hadrus	Yes	0.0151891274031332	0.00668792438858447	118	74	0.0293361952047625	0.11617133301086
PD	s__Bilophila_wadsworthia	Yes	0.0041714150362787	0.00187233797813041	118	40	0.0287872058792469	0.11617133301086
PD	s__Desulfovibrio_desulfuricans	Yes	0.00723746802473601	0.00331493992017221	118	28	0.031028494143971	0.118146958471274
PD	s__Flavonifractor_plautii	Yes	0.00415249554163585	0.00190023474654463	118	31	0.0324234822470654	0.118886101572573
PD	s__Odoribacter_unclassified	Yes	0.00710665584216517	0.00330828417863088	118	25	0.0345066595859003	0.122005689250148
PD	s__C2likevirus_unclassified	Yes	0.00743741047480833	0.00362893686883737	118	25	0.0435151379104808	0.1485516776944
PD	s__Anaerotruncus_unclassified	Yes	0.00663454936626955	0.00327870056399902	118	26	0.0453169533848461	0.149545946169992
PD	s__Oscillibacter_unclassified	Yes	0.0127548847843715	0.00632607596800302	118	114	0.0474627963496181	0.151574736729425
PD	s__Veillonella_unclassified	Yes	0.0239791672831874	0.0120609941255076	118	44	0.0491492503719642	0.152055493338264
PD	s__Parabacteroides_unclassified	Yes	-0.0379039406011764	0.0194197575971939	118	49	0.0533693179863604	0.156502128479759
PD	s__Alistipes_finegoldii	Yes	0.0211926137178466	0.010906342491025	118	78	0.0558901126772764	0.156502128479759
PD	s__Clostridium_leptum	Yes	0.0102180521284736	0.00524915136854737	118	45	0.0539992611571793	0.156502128479759
PD	s__Eubacterium_siraeum	Yes	-0.0506912281352653	0.0263581625969916	118	64	0.0569098649017307	0.156502128479759
PD	s__Clostridium_hathewayi	Yes	0.00701299668203179	0.00372531288970459	118	29	0.0661151779942494	0.176902773552181
