metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
description	s__Eggerthella_unclassified	Population Control	-0.0167964242255682	0.00452732579446391	118	34	0.000346387932125205	0.044952328692852
description	s__Eubacterium_eligens	Population Control	0.0742702051236702	0.0192647396950778	118	92	0.000212260959696359	0.044952328692852
description	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	Population Control	-0.0175567047332414	0.00475253781237201	118	32	0.000363251140952339	0.044952328692852
description	s__Faecalibacterium_prausnitzii	Population Control	0.0732425860328649	0.0182547342109019	118	107	0.000123854938471987	0.044952328692852
description	s__Streptococcus_salivarius	Population Control	-0.0265607139814535	0.00766574367471935	118	58	0.000791071614293949	0.078316089815101
description	s__Bifidobacterium_longum	Population Control	-0.0436320757818269	0.0129734694704876	118	53	0.00113651393984689	0.0937624000373685
description	s__Clostridium_bolteae	Population Control	-0.0253216073246948	0.00802986382811502	118	40	0.00214220558531754	0.147137951578459
description	s__Eubacterium_siraeum	Household Control	0.123657336064826	0.0396376085558048	118	64	0.00237798709621752	0.147137951578459
description	s__Ruminococcus_callidus	Population Control	0.0233256296937368	0.00764275247876387	118	28	0.00296978936050241	0.163338414827632
description	s__Streptococcus_parasanguinis	Population Control	-0.0171137668692993	0.00601367850574971	118	34	0.0053997474547194	0.26728749900861
description	s__Flavonifractor_plautii	Population Control	-0.00703258065398771	0.00251343538989778	118	31	0.00625841601295153	0.281628720582819
description	s__Sutterella_wadsworthensis	Population Control	0.0358510657606338	0.0132458929254126	118	32	0.00820026623701312	0.338260982276791
description	s__Bifidobacterium_longum	Household Control	-0.0369246374539912	0.0133092612469991	118	53	0.0102170507899886	0.361245724360312
host_age	s__Bacteroides_caccae	host_age	-0.031017897349927	0.0117303587760199	118	82	0.00974084532284514	0.361245724360312
sex	s__Prevotella_copri	male	0.089481052044249	0.0348361704561788	118	28	0.011718904711871	0.362553614523509
host_age	s__Alistipes_onderdonkii	host_age	0.0335669215330265	0.0130397674164046	118	94	0.0117071056720452	0.362553614523509
sex	s__Bacteroides_xylanisolvens	male	0.0210999679955313	0.00844326375359288	118	69	0.0141159884451991	0.411024369433739
host_age	s__Bacteroides_ovatus	host_age	-0.0331001425469727	0.013382752350778	118	104	0.0153523943360227	0.422190844240625
description	s__Streptococcus_thermophilus	Population Control	-0.0347876631118347	0.0143843626706664	118	45	0.0175525466077714	0.457290030044571
sex	s__Bilophila_wadsworthia	male	0.00536976602039527	0.00225547303479546	118	40	0.019426792986782	0.480813126422855
description	s__Odoribacter_splanchnicus	Population Control	0.0355986525370729	0.015152318223169	118	59	0.0209318913645053	0.484684852549849
host_age	s__Paraprevotella_unclassified	host_age	-0.0218048460599617	0.00939804553469332	118	27	0.022520710320498	0.484684852549849
description	s__Escherichia_coli	Population Control	-0.0329192101388156	0.0141745886764563	118	50	0.0222798409630652	0.484684852549849
description	s__Bacteroides_caccae	Population Control	-0.0531009662240736	0.0236263075693491	118	82	0.0269076284981895	0.494518518511206
host_body_mass_index	s__Bacteroides_caccae	host_body_mass_index	0.0234572401680562	0.0105089431423872	118	82	0.0279024584831207	0.494518518511206
sex	s__Bacteroides_stercoris	male	0.0650098752828203	0.0292128737101438	118	65	0.0289717919935858	0.494518518511206
host_body_mass_index	s__Bacteroides_xylanisolvens	host_body_mass_index	0.00971841871846344	0.00430485049033081	118	69	0.0261926312844904	0.494518518511206
description	s__Alistipes_shahii	Household Control	0.0358679036110775	0.0154414215390438	118	82	0.0283027800190878	0.494518518511206
description	s__Ruminococcus_torques	Population Control	-0.0369605529048092	0.016161460740441	118	115	0.0244584331641731	0.494518518511206
host_age	s__Dorea_unclassified	host_age	0.00421991883120897	0.00193319866075249	118	25	0.0321540889196384	0.530542467174033
description	s__Bifidobacterium_adolescentis	Household Control	-0.0390346119731127	0.0179569445138459	118	43	0.0361585283081154	0.542377924621731
description	s__Bacteroides_stercoris	Household Control	0.0821768524061749	0.0375687995189965	118	65	0.0357288368468474	0.542377924621731
description	s__Roseburia_hominis	Population Control	0.0302149625793799	0.0140860027732681	118	98	0.0344217742859933	0.542377924621731
