"","Euryarchaeota","Actinobacteria","Bacteroidetes","Deinococcus_Thermus","Firmicutes","Fusobacteria","Proteobacteria","Spirochaetes","Synergistetes","Verrucomicrobia","Ascomycota","Viruses_noname"
"PD.10.HC",0,0.05905,79.86284,0,19.39111,0,0.687,0,0,0,0,0
"PD.10.PC",0,0.7081,59.67359,0,36.32835,0,2.18087,0,0,1.09851,0,0.01063
"PD.10",0,1.09023,83.6876,0,13.52363,0,1.68711,0,0,0,0,0.0114
"PD.11.HC",0,0.1112,86.36306,0,11.90783,0,1.30028,0,0,0.31764,0,0
"PD.11.PC",0,0.23132,87.84163,0,11.79505,0,0.13197,0,0,0,0,0
"PD.11",0,0.38847,85.93091,0,8.35145,0,0.58922,0,0,4.73997,0,0
"PD.12.HC",0,0.10552,69.00981,0,25.15297,0,0.86578,0,0,4.83955,0,0.02637
"PD.12.PC",0,0.26416,55.24698,0,36.94995,0,6.05271,0,0,1.48619,0,0
"PD.12",0,0.08916,88.95685,0,10.91894,0,0.03504,0,0,0,0,0
"PD.13.HC",0.03159,0.03927,66.6675,0,31.70612,0.1119,0.63194,0,0,0.13857,0,0
"PD.13.PC",0.07314,0.07529,90.13944,0,7.12234,0,0.78488,0,0,1.8049,0,0
"PD.13",0.05804,0.13854,46.5367,0,52.49367,0,0.59978,0,0,0.17325,0,0
"PD.14.HC",0,0.07552,73.28263,0,25.85044,0,0.79143,0,0,0,0,0
"PD.14.PC",0,0.0704,85.1834,0,14.03194,0,0.08632,0,0,0,0,0
"PD.14",0,4.07201,24.81924,0,41.20758,0,3.56685,0,0,26.322,0,0.01232
"PD.15.HC",0.71785,0.93561,66.71646,0,29.3041,0,1.38758,0,0,0.93068,0,0.00767
"PD.15.PC",0,0.14812,86.0083,0,11.66335,0,0,0,0,2.18024,0,0
"PD.15",0,0.39791,87.7157,0,10.9707,0,0.91569,0,0,0,0,0
"PD.16.HC",0,0.44916,67.2231,0,23.53739,0,0.61977,0,0,7.94524,0,0.22533
"PD.16.PC",0,0.83277,62.03937,0,36.57038,0,0.55746,0,0,0,0,0
"PD.16",0.91709,6.65576,33.41614,0,26.66788,0,0.37128,0,0,31.97185,0,0
"PD.17.HC",0.12469,2.38225,60.18065,0,30.07698,0,1.26046,0,0,5.97497,0,0
"PD.17.PC",0.26105,0.05643,38.17908,0,52.14936,0,0.41314,0,0,8.64786,0,0
"PD.17",0.18538,2.05036,81.44709,0,14.01979,0,0.56554,0,0,1.73186,0,0
"PD.18.HC",0.85328,0.37975,69.26684,0,28.66954,0,0.09548,0.0497,0,0.64949,0,0.03592
"PD.18.PC",0,0.01286,76.16675,0,22.2666,0,0.01562,0,0,0.97016,0,0
"PD.18",1.02762,1.549,57.56574,0,21.6972,0,0.34093,0,0,17.48976,0,0.32973
"PD.19.HC",0,1.68576,73.80967,0,18.03495,0,1.20917,0,0,4.42288,0,0
"PD.19.PC",0,0.09341,68.57537,0,19.42941,0,7.34609,0,0,4.55572,0,0
"PD.19",0,2.22066,69.47916,0,22.45135,0,0.86669,0,0,4.96246,0,0
"PD.1.HC",0.24274,0.71248,49.02178,0,48.38727,0,1.37001,0,0.26573,0,0,0
"PD.1.PC",0,0.02083,71.85009,0,25.28635,0,2.84276,0,0,0,0,0
"PD.1",0.12708,0.47767,44.81954,0,40.2408,0,0.97622,0,0,13.3441,0,0
"PD.20.HC",0,0.33202,57.28082,0,42.03339,0,0.15629,0,0,0.19747,0,0
"PD.20.PC",0,0.46795,60.88281,0,36.11801,0,1.56431,0,0,0,0,0
"PD.20",0,0.48272,50.99464,0,47.52508,0,0,0,0,0.99753,0,0
"PD.21.HC",0.36639,0.0508,70.80159,0,17.78703,0,0.33634,0,0,10.64305,0,0
"PD.21.PC",0,1.31656,86.24234,0,10.37062,0,2.05442,0,0,0.01603,0,0
"PD.21",0,2.04188,72.11682,0,11.61268,0,3.38881,0,0,10.657,0,0.18279
"PD.22.HC",0,0,65.18833,0,34.38179,0,0.38401,0,0,0.04587,0,0
"PD.22.PC",0,0.48788,81.24512,0,17.92954,0,0.1499,0,0,0.08011,0,0
"PD.22",0,0.05126,71.72324,0,9.60686,0,0.54915,0,0,18.06947,0,0
"PD.23.HC",0,0.55109,65.48582,0,26.82192,0,1.55209,0,0,5.58906,0,0
"PD.23.PC",0,0.20695,87.06166,0,9.02374,0,0.75921,0,0,2.9484,0,0
"PD.23",0,1.13086,56.46401,0,38.67711,0,1.75147,0,0,1.97653,0,0
"PD.24.HC",0,0.25798,68.42973,0,30.63732,0,0.25356,0,0,0.42141,0,0
"PD.24.PC",0,3.69537,63.35782,0,31.1159,0,1.72549,0,0,0.02923,0,0.07619
"PD.24",13.83964,0.60225,55.67942,0,25.54923,0,3.26821,0,1.06126,0,0,0
"PD.25.HC",0,0,73.6587,0,24.02981,0,0.02279,0,0,0,0,0
"PD.25.PC",0,0.23084,52.34039,0,46.69915,0,0.35406,0,0,0.34606,0,0.02948
"PD.25",0.44732,0.0387,77.23926,0,21.18085,0,0.29868,0,0,0.63096,0,0.02009
"PD.26.HC",0,3.31354,72.98464,0,23.45655,0,0.12041,0,0,0,0,0
"PD.26.PC",0,0.61833,77.95672,0,15.74251,0,4.04862,0,0,1.63385,0,0
"PD.26",0,19.62261,20.18526,0,50.49695,0,4.34095,0,0,0,0,5.35421
"PD.27.HC",0.68547,0.15969,69.66534,0,24.91892,0,4.13473,0,0,0.43587,0,0
"PD.27.PC",8.4418,2.28231,49.92873,0,22.5987,0,0.47049,0,0,16.27794,0,0
"PD.27",0.63047,0.52496,73.93825,0,22.17742,0,0.90115,0,0,1.82773,0,0
"PD.28.HC",0,0.04795,69.99939,0,27.12696,0,0.96336,0,0,1.86233,0,0
"PD.28.PC",2.28243,0.32988,42.1818,0,50.79257,0,0.14993,0,0,3.87289,0,0
"PD.28",0,0.10552,92.39248,0,5.97858,0,1.36593,0,0,0,0,0.1575
"PD.29.HC",0,1.74393,30.93205,0,65.39111,0,1.81008,0,0,0.12285,0,0
"PD.29.PC",0,0.02297,84.9081,0,13.07972,0,1.62531,0,0,0.24015,0,0.12374
"PD.29",0,2.46099,17.9621,0,71.33678,0,6.72922,0,0,0,0.00102,1.50985
"PD.2.HC",0.83846,1.1325,63.11046,0,33.94341,0,0.45741,0,0,0.51776,0,0
"PD.2.PC",0,0.17787,83.29358,0,14.52409,0,1.80307,0,0,0.20141,0,0
"PD.2",1.86341,9.35809,43.9207,0,42.18074,0,1.32358,0,0,1.3535,0,0
"PD.30.PC",0,0.09118,84.34407,0,12.59817,0,0.13277,0,0,2.01036,0,0
"PD.30",1.73888,0.10043,62.16477,0,35.9022,0,0.09376,0,0,0,0,0
"PD.31.PC",0,0.17053,75.93567,0,22.42029,0,0.98087,0,0,0,0,0
