id,PD.10.HC,PD.10.PC,PD.10,PD.11.HC,PD.11.PC,PD.11,PD.12.HC,PD.12.PC,PD.12,PD.13.HC,PD.13.PC,PD.13,PD.14.HC,PD.14.PC,PD.14,PD.15.HC,PD.15.PC,PD.15,PD.16.HC,PD.16.PC,PD.16,PD.17.HC,PD.17.PC,PD.17,PD.18.HC,PD.18.PC,PD.18,PD.19.HC,PD.19.PC,PD.19,PD.1.HC,PD.1.PC,PD.1,PD.20.HC,PD.20.PC,PD.20,PD.21.HC,PD.21.PC,PD.21,PD.22.HC,PD.22.PC,PD.22,PD.23.HC,PD.23.PC,PD.23,PD.24.HC,PD.24.PC,PD.24,PD.25.HC,PD.25.PC,PD.25,PD.26.HC,PD.26.PC,PD.26,PD.27.HC,PD.27.PC,PD.27,PD.28.HC,PD.28.PC,PD.28,PD.29.HC,PD.29.PC,PD.29,PD.2.HC,PD.2.PC,PD.2,PD.30.PC,PD.30,PD.31.PC,PD.31,PD.32.PC,PD.32,PD.33.PC,PD.33,PD.34.PC,PD.34,PD.35.PC,PD.35,PD.36.PC,PD.36,PD.37.PC,PD.37,PD.38.PC,PD.38,PD.39.PC,PD.39,PD.3.HC,PD.3.PC,PD.3,PD.40.PC,PD.40,PD.41.PC,PD.41,PD.42,PD.43,PD.44,PD.45,PD.46,PD.47,PD.48,PD.4.HC,PD.4.PC,PD.4,PD.5.HC,PD.5.PC,PD.5,PD.6.HC,PD.6.PC,PD.6,PD.7.HC,PD.7.PC,PD.7,PD.8.HC,PD.8.PC,PD.8,PD.9.HC,PD.9.PC,PD.9
k__Archaea,0,0,0,0,0,0,0,0,0,0.0316,0.07314,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.12469,0.26105,0.18539,0.85328,0,1.02761,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.68547,8.4418,0.63048,0,2.28243,0,0,0,0,0.83846,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.91534,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.85322,0.24645,0,0.21286,0,0.99432,0.48589,0,1.13501,0.99571,0.5817,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota,0,0,0,0,0,0,0,0,0,0.0316,0.07314,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.12469,0.26105,0.18539,0.85328,0,1.02761,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.68547,8.4418,0.63048,0,2.28243,0,0,0,0,0.83846,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.91534,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.85322,0.24645,0,0.21286,0,0.99432,0.48589,0,1.13501,0.99571,0.5817,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0,0,0,0,0,0,0,0,0,0.0316,0.07314,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.12469,0.26105,0.18539,0.85328,0,1.02761,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.68547,8.4418,0.63048,0,2.28243,0,0,0,0,0.83846,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.91534,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.83155,0.24645,0,0.21286,0,0.99432,0.48589,0,1.13501,0.99571,0.5817,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0,0,0,0,0,0,0,0,0,0.0316,0.07314,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.12469,0.26105,0.18539,0.85328,0,1.02761,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.68547,8.4418,0.63048,0,2.28243,0,0,0,0,0.83846,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.91534,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.83155,0.24645,0,0.21286,0,0.99432,0.48589,0,1.13501,0.99571,0.5817,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0,0,0,0,0,0,0,0,0,0.0316,0.07314,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.12469,0.26105,0.18539,0.85328,0,1.02761,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.68547,8.4418,0.63048,0,2.28243,0,0,0,0,0.83846,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.91534,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.83155,0.24645,0,0.21286,0,0.99432,0.48589,0,1.13501,0.99571,0.5817,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0,0,0,0,0,0,0,0,0,0.0316,0.00945,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.12469,0.26105,0.18539,0.85328,0,0.88656,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.65589,8.4418,0.02232,0,2.11591,0,0,0,0,0.83846,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.91534,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.83155,0.20228,0,0.21286,0,0.99432,0.48589,0,1.0461,0.99571,0.5817,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0,0,0,0,0,0,0,0,0,0.01662,0.00945,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.09379,0.26105,0.1818,0.85328,0,0.734,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.65589,8.4418,0,0,2.11591,0,0,0,0,0.74778,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.8494,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.82214,0.20228,0,0.15848,0,0.99432,0.48589,0,1.0461,0.99571,0.51402,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified,0,0,0,0,0,0,0,0,0,0.01662,0.00945,0.05804,0,0,0,0.71785,0,0,0,0,0.91709,0.09379,0.26105,0.1818,0.85328,0,0.734,0,0,0,0.24274,0,0.12708,0,0,0,0.36639,0,0,0,0,0,0,0,0,0,0,13.83964,0,0,0.44732,0,0,0,0.65589,8.4418,0,0,2.11591,0,0,0,0,0.74778,0,1.86341,0,1.73888,0,0,0,10.38393,0,0,0,0,0,10.42115,0,0,0,0,0,0,0,0.8494,0,0,3.5492,0,2.4966,5.02255,0,0,0,5.98519,0,0,0,2.82214,0.20228,0,0.15848,0,0.99432,0.48589,0,1.0461,0.99571,0.51402,2.30946,0.86609,0,0,0,0,0.8353,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,0,0,0,0,0,0,0,0,0,0.01497,0,0,0,0,0,0,0,0,0,0,0,0.0309,0,0.00358,0,0,0.15257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02232,0,0,0,0,0,0,0.09068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00941,0,0,0.05438,0,0,0,0,0,0,0.06768,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,0,0,0,0,0,0,0,0,0,0,0.06369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02958,0,0.60815,0,0.16652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04417,0,0,0,0,0,0,0.0889,0,0,0,0,0,0,0,0,0,0
