# Pathway	PD_10_HC_Abundance	PD_10_PC_Abundance	PD_10_Abundance	PD_11_HC_Abundance	PD_11_PC_Abundance	PD_11_Abundance	PD_12_HC_Abundance	PD_12_PC_Abundance	PD_12_Abundance	PD_13_HC_Abundance	PD_13_PC_Abundance	PD_13_Abundance	PD_14_HC_Abundance	PD_14_PC_Abundance	PD_14_Abundance	PD_15_HC_Abundance	PD_15_PC_Abundance	PD_15_Abundance	PD_16_HC_Abundance	PD_16_PC_Abundance	PD_16_Abundance	PD_17_HC_Abundance	PD_17_PC_Abundance	PD_17_Abundance	PD_18_HC_Abundance	PD_18_PC_Abundance	PD_18_Abundance	PD_19_HC_Abundance	PD_19_PC_Abundance	PD_19_Abundance	PD_1_HC_Abundance	PD_1_PC_Abundance	PD_1_Abundance	PD_20_HC_Abundance	PD_20_PC_Abundance	PD_20_Abundance	PD_21_HC_Abundance	PD_21_PC_Abundance	PD_21_Abundance	PD_22_HC_Abundance	PD_22_PC_Abundance	PD_22_Abundance	PD_23_HC_Abundance	PD_23_PC_Abundance	PD_23_Abundance	PD_24_HC_Abundance	PD_24_PC_Abundance	PD_24_Abundance	PD_25_HC_Abundance	PD_25_PC_Abundance	PD_25_Abundance	PD_26_HC_Abundance	PD_26_PC_Abundance	PD_26_Abundance	PD_27_HC_Abundance	PD_27_PC_Abundance	PD_27_Abundance	PD_28_HC_Abundance	PD_28_PC_Abundance	PD_28_Abundance	PD_29_HC_Abundance	PD_29_PC_Abundance	PD_29_Abundance	PD_2_HC_Abundance	PD_2_PC_Abundance	PD_2_Abundance	PD_30_PC_Abundance	PD_30_Abundance	PD_31_PC_Abundance	PD_31_Abundance	PD_32_PC_Abundance	PD_32_Abundance	PD_33_PC_Abundance	PD_33_Abundance	PD_34_PC_Abundance	PD_34_Abundance	PD_35_PC_Abundance	PD_35_Abundance	PD_36_PC_Abundance	PD_36_Abundance	PD_37_PC_Abundance	PD_37_Abundance	PD_38_PC_Abundance	PD_38_Abundance	PD_39_PC_Abundance	PD_39_Abundance	PD_3_HC_Abundance	PD_3_PC_Abundance	PD_3_Abundance	PD_40_PC_Abundance	PD_40_Abundance	PD_41_PC_Abundance	PD_41_Abundance	PD_42_Abundance	PD_43_Abundance	PD_44_Abundance	PD_45_Abundance	PD_46_Abundance	PD_47_Abundance	PD_48_Abundance	PD_4_HC_Abundance	PD_4_PC_Abundance	PD_4_Abundance	PD_5_HC_Abundance	PD_5_PC_Abundance	PD_5_Abundance	PD_6_HC_Abundance	PD_6_PC_Abundance	PD_6_Abundance	PD_7_HC_Abundance	PD_7_PC_Abundance	PD_7_Abundance	PD_8_HC_Abundance	PD_8_PC_Abundance	PD_8_Abundance	PD_9_HC_Abundance	PD_9_PC_Abundance	PD_9_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0126501	0.0127813	0.0175254	0.017277	0.0219435	0.0210224	0.0132088	0.00951296	0.0196423	0.0097145	0.0164034	0.00968241	0.0162535	0.0180695	0.0101095	0.0132104	0.0174812	0.0164216	0.0150252	0.00964806	0.0143455	0.011825	0.0105828	0.0120766	0.0143619	0.0156962	0.0107908	0.0174983	0.0139492	0.0144907	0.0136757	0.0160671	0.0093505	0.00984413	0.0134465	0.0111723	0.0137109	0.0221593	0.0156121	0.0129256	0.00729406	0.0172127	0.0122867	0.0180945	0.0068958	0.015217	0.0117006	0.00694	0.0131331	0.0104639	0.0136975	0.0146184	0.0137513	0.00922292	0.010678	0.00876281	0.0153231	0.014409	0.00898412	0.017164	0.00633343	0.0185523	0.006891	0.010672	0.0144795	0.00907724	0.0168725	0.0118834	0.0150272	0.00702173	0.0124406	0.0106694	0.00928575	0.015613	0.00596708	0.0123868	0.0104441	0.00713678	0.0086209	0.0125655	0.0142358	0.0143155	0.0100854	0.0120119	0.0132367	0.0136802	0.00927526	0.0157113	0.00739224	0.01226	0.00680179	0.00435327	0.00628551	0.0114217	0.0129383	0.00507916	0.00943974	0.0059584	0.0133926	0.00873467	0.0132211	0.0134343	0.0129146	0.0182783	0.0126476	0.0145412	0.0135349	0.00963706	0.00855782	0.0144189	0.00760907	0.0106316	0.0193627	0.0138831	0.021549	0.0137955	0.00978744	0.00458205
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0	0.000123766	0	0	0	0.000893038	0.000599931	6.06996e-05	0	0	0	0	0	0	0.00268567	0.000111817	0	0	0.000780935	0	0.00439738	0.000423607	0.000562352	0.000249306	0	0.000118307	0.00182855	0.000279509	0.000415499	0.00049141	0	0	0.00136054	0	0	0	0.00122034	0	0.00144373	0	0	0.00233608	0.000668624	0.000429149	0.000151476	0	0	0	0	0	0	0	0	0	0	0.0011626	0	0.000238615	0.000394414	0	0	0	0	0	0	0	0	0	0	0.000597532	0	0.00196065	0	0	0.000479689	0	5.34776e-05	0.00159039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000509932	0.000160901	0	0	0.000621559	0.000508189	0.00011742	0	0.00129613	0.00296089	0.000359164	0	0.000411725	0	0.000538767	0.0012817	0	0.000117346	0	0	0.000701549	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.000475219	0.000192999	0.000474727	0.000238638	0	0	0.000189596	0.000293478	0.000166286	0.000186905	0.000256094	0	0	0	0.000348767	0	0	0	0.000233631	0.000649424	0	4.67905e-05	0	0.000274246	6.69754e-05	0	0.000265777	0.000230994	0	0.000505857	0	0	0.000101287	0	0	0	0	0.000252176	0	0	0	0	0.000147029	4.78521e-05	0.000349486	9.24678e-05	0.000250487	0.00133578	0	0	0	0	0	0	0.000132885	0	0	0	0.000119133	0	0	0	0	0.000129717	0	0.000240108	0.000705108	0	0.0013166	0.000197191	0	0.000554723	0	0.000555557	0	0.000376762	0	2.50072e-05	5.50792e-05	0.00125955	9.13215e-05	0	0.000726378	0.000224325	0	0.000270711	0.000100967	0.0016557	0.0014033	0.000140718	0	6.41712e-05	0	0.000130771	0.000304842	3.67082e-05	0.00023163	0	0.00013391	0	0.000170306	0	0	0.000196442	0.000381837	0.00037511	0	0	0	9.9126e-05	0	0	0.000283983	0	0	0.000295492	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0.00059046	0.000148205	0	0.0002194	0.00274388	6.45748e-05	0	0.000973348	8.77973e-05	0.000598158	0	0	0	0.000552907	0	0.00015083	0.000259757	8.78799e-05	0	0	0	0	0.00138142	0	0	0	8.14971e-05	0.000194421	0.000595836	0.000863943	0.000480407	0	0.00159894	0.00063517	0	0.00111661	0	0	0.000123673	4.63802e-05	0	0.000128314	0.000112779	0	0.00018175	0	0	0.00031847	0.00123582	0.000369957	0	0	0.000351399	0	0	0	0	0.000319672	9.97091e-05	0.000523313	0.00287973	0.000157723	0.000393361	4.87926e-05	0.000881898	0.000699574	0	0	0	0	0	0	0.000146575	0.000117726	0.000314746	0	0.000588486	0.000765464	0	0.00173122	0	0	0	6.44625e-05	0.000100924	0	0	0	0	0	0.000266648	0	0.00103767	8.64502e-05	0	0.000854096	5.34102e-05	0	8.27749e-05	0.00051362	0	7.37481e-05	0.000260346	5.32027e-05	6.70793e-05	0	0	0.000418664	0	0.000207548	0.00040587	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0.000951479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45881e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31533e-05	0.00159333	0	0	0	0.000175227	0	0	7.53265e-05	0	0	8.29445e-05	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_coprocola	0	0	0.00576935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000490944	0	0	0	0	0.000865273	0	0	0	0	0	0.000824563	0	0	0	0.000731018	0	0	0	0.0010413	0	0	0	0	0	0	0	0	0	0	0	0	0	7.83619e-05	0.000476375	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_coprophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000433937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000306845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000108025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000319073	0	0	0	0.000769735	0	0	0	0	0	0	0	0	0	0.000345315	0	0	0	0	0	0	0	0	0	0.000315668	0.000239801	0	0	0	0	0	6.48101e-05	0	0	0	0	0	0	0	5.43336e-05	0	0	0	0	0	0	0	0	0	0	0	0.000296677	6.09917e-05	0	0	0	0	0	0.00081158	9.80394e-05	0	0	0	9.89818e-05	0	0	0	7.87061e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000900657	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0.000430377	0	0	0	0	0	0	0	0.000273613	0	0	0	0.000120963	0	0	0	0	0	0	0	0	0	7.44829e-05	0	0	0	0.000418119	0	0	0	0.000381199	0	0	0	0	0	0	0	0	0.000135309	0	0	0.00105408	0	0	0.000127228	0	9.99007e-05	0	0	0	0	0	0	0.000152155	0	0	0.000117161	0	0	0	0	0	0	0	7.04638e-05	0	0	0	3.43572e-05	1.79911e-05	7.56287e-05	0.000247933	0	0	0	0	0	0.000936807	6.00069e-05	0	0	0	0	0	0	0	0	0	0.000252182	0	0	0	0.000167153	4.12984e-05	0	0	0.000614065	0	0	0	0	0	0.000276161	0	0	4.69941e-05	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0.00336207	0	0.000189046	0	0	0	0	0	0	0	0	0	0.00177712	0	5.90961e-05	0	0	0.000462573	0	0	0	0	0	0	0	0	0	0	0.000488164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26987e-05	0.00154167	0	0.000262875	0	0	0	0	0.000282422	0.000789941	0	0.000297345	0.00133651	0	0.000238062	0	7.63832e-05	0	0	0	0	0	0.000180668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000267867	0	0	0	0.000821287	0	0	0	0	0	0.000252643	0.000119482	0.000501309	0	0	0	3.91728e-05	0	0.000128085	0	0	0	0	0	0	0.000144805	0	0
