"","vars","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)","n_meta","FDR","metacat"
"1","description",2,4974.83760442288,2487.41880221144,1.86654357532833,3.14410013269499,1e-04,118,0.00155,"Disease-Status/Grouping"
"2","PD",1,3290.56136079147,3290.56136079147,2.46361265840687,2.07963661002874,2e-04,118,0.00206666666666667,"Disease-Status/Grouping"
"3","Paired",88,124959.865890328,1419.99847602646,1.23783065330136,78.9747047377053,1e-04,118,0.00155,"Disease-Status/Grouping"
"4","sex",1,1618.34648530237,1618.34648530237,1.19870350942669,1.02279587873621,0.1358,118,0.21049,"Anthropomorphic"
"5","host_age",1,1699.47911031136,1699.47911031136,1.25773868447405,1.08185373180841,0.0865,117,0.162515151515152,"AA_notmatched"
"6","host_body_mass_index",1,1269.75118272488,1269.75118272488,0.935074385354018,0.899671637206028,0.5951,105,0.696154716981132,"Anthropomorphic"
"7","bristol_stool_scale",5,9136.46636983802,1827.2932739676,1.3691423090313,5.85876148523508,0.0012,116,0.0093,"GI distress"
"8","bowl_movments_per_day",1,1959.0486656576,1959.0486656576,1.456099049946,1.52541227269733,0.0237,96,0.0667909090909091,"GI distress"
"9","antibiotic_use",1,1892.25019711855,1892.25019711855,1.52283417926369,3.20442626279258,0.0119,48,0.0491866666666667,"Microbiota disruption"
"10","laxatives",1,2068.36474790227,2068.36474790227,1.64570801412966,3.24945208322594,0.0054,51,0.0304363636363636,"Microbiota disruption"
"11","non_food_allergy",1,1736.92612671741,1736.92612671741,1.29966794932879,1.54172368758321,0.0712,85,0.13795,"Allergies"
"12","food_allergy",1,1234.23276786881,1234.23276786881,0.919357492488805,1.095524941991,0.6292,85,0.696614285714286,"Allergies"
"13","cigarette_smoked_ever",1,1259.79853006535,1259.79853006535,0.929606769736978,0.989684511312663,0.6137,95,0.696614285714286,"Smoking stats"
"14","time_since_last_cigarette_smoke",1,1712.19852916686,1712.19852916686,1.26303326759358,1.38394837687481,0.1035,92,0.188735294117647,"Smoking stats"
"15","parents_smoked",1,1767.03791960228,1767.03791960228,1.31288801838789,1.40697394140151,0.058,94,0.124,"Smoking stats"
"16","antihistamines",1,1881.26815563783,1881.26815563783,1.57078122744131,3.37289000966071,0.0083,47,0.0407428571428571,"Other medication"
"17","beta_blockers",1,1974.6307728914,1974.6307728914,1.61052032448636,3.53102817733421,0.0088,46,0.0407428571428571,"Other medication"
"18","statins",1,2429.33696081277,2429.33696081277,1.96643575982621,3.39236962571546,2e-04,58,0.00206666666666667,"Other medication"
"19","tricyclic_antidepressants",1,2537.47940555743,2537.47940555743,2.07482620148643,4.50316663683799,3e-04,46,0.00265714285714286,"Other medication"
"20","ssri_antidepressants",1,3168.83523607687,3168.83523607687,2.4881163082638,4.65171795156188,1e-04,53,0.00155,"Other medication"
"21","platelet_aggregation_inhibitor",1,1732.92569068884,1732.92569068884,1.41613225656854,2.92491818442688,0.0267,49,0.0719739130434783,"Other medication"
"22","inhaler",1,2024.9186936082,2024.9186936082,1.65264828564827,3.62004910494494,0.0092,46,0.0407428571428571,"Other medication"
"23","nonsteroidal_anti.inflammatory",1,2224.52998705105,2224.52998705105,1.65875331710518,2.87684561610715,0.0142,58,0.0517882352941176,"Other medication"
"24","carbidopa",1,1512.16926009255,1512.16926009255,1.09551939453672,1.31838563922466,0.2474,84,0.333452173913043,"PD medication"
"25","levodopa",1,1614.86265919206,1614.86265919206,1.17601220093113,1.38068473804209,0.1538,86,0.225506976744186,"PD medication"
"26","levothyroxine",1,1479.22545045948,1479.22545045948,1.0759701231565,1.26471684260422,0.2812,86,0.363216666666667,"PD medication"
"27","azilect",1,1428.1258342607,1428.1258342607,1.03834144387807,1.22102739334743,0.3487,86,0.441212244897959,"PD medication"
"28","calcium",1,2241.81241296343,2241.81241296343,1.79242672229943,3.332117235671,0.0017,54,0.0117111111111111,"Supplements"
"29","magnesium",1,1829.58582486358,1829.58582486358,1.41537252575475,2.60105271738213,0.0189,55,0.0616736842105263,"Supplements"
"30","multivitamin",1,1563.23070429363,1563.23070429363,1.18154478508375,1.90015347667462,0.1469,63,0.222141463414634,"Supplements"
"31","vitamin_C",1,1606.58652101122,1606.58652101122,1.27523484632857,2.26606756917295,0.0622,57,0.128546666666667,"Supplements"
"32","vitamin_D",1,1639.28975541594,1639.28975541594,1.27686327702834,1.79141339604917,0.0698,72,0.13795,"Supplements"
"33","vitamin_E",1,1779.71487107266,1779.71487107266,1.3816152224508,2.54059247192131,0.0334,55,0.082832,"Supplements"
"34","vitamin_B12",1,1951.64486049708,1951.64486049708,1.4510406247866,2.18362362898099,0.0227,67,0.0667909090909091,"Supplements"
"35","vitamin_B9",1,1544.13113688362,1544.13113688362,1.21473520829424,2.2405997255676,0.1091,55,0.193262857142857,"Supplements"
"36","coenzyme_Q",1,2071.8562853822,2071.8562853822,1.62642464609682,2.77421769435006,0.0033,59,0.02046,"Supplements"
"37","biotin",1,1401.04363254386,1401.04363254386,1.11667653399655,2.53118915958239,0.2243,45,0.309035555555556,"Supplements"
"38","fish_oil",1,1858.46769454377,1858.46769454377,1.45103653472504,2.48248212649403,0.013,59,0.050375,"Supplements"
"39","Alpha_lipoc_acid",1,1556.81298822975,1556.81298822975,1.30441707854762,3.0122032959862,0.0556,44,0.123114285714286,"Supplements"
"40","encapsulated_herbs",1,1183.23563660315,1183.23563660315,0.990663739817508,2.30436949243927,0.479,44,0.582313725490196,"Supplements"
"41","encapsulated_spices",1,1762.93742359797,1762.93742359797,1.41512552224079,2.80694634314954,0.0165,51,0.0568333333333333,"Supplements"
"42","breakfast_frequency",1,1239.27815117835,1239.27815117835,0.915903653473962,0.964963318284163,0.6283,96,0.696614285714286,"Diet"
"43","meat_consumption_frequency",1,1178.7149510076,1178.7149510076,0.868032641229512,0.924737226087603,0.7489,95,0.773863333333333,"Diet"
"44","fish_consumption_frequency",1,1034.22983953304,1034.22983953304,0.708428293425827,1.39706221878242,0.9632,52,0.9632,"Diet"
"45","egg_consumption_frequency",1,1436.0180771124,1436.0180771124,1.14143751761468,2.07001770175116,0.1852,56,0.260963636363636,"Diet"
"46","bread_consumption_frequency",1,1455.94182529055,1455.94182529055,1.09313485035392,1.17423787705841,0.2586,94,0.341131914893617,"Diet"
"47","fruit_consumption_frequency",1,1830.78668347177,1830.78668347177,1.35023919114464,1.44642285102225,0.0495,94,0.113666666666667,"Diet"
"48","vegetable_consumption_frequency",1,1404.917040341,1404.917040341,1.03817022137224,1.11585408322417,0.3668,94,0.454832,"Diet"
"49","fermented_product_consumption_frequency",1,1820.45277699283,1820.45277699283,1.35160388632414,1.41749465267044,0.0492,96,0.113666666666667,"Diet"
"50","caffeine_consumption_frequency",1,1205.40048615064,1205.40048615064,0.890628724811923,0.938584491198594,0.7044,96,0.761958620689655,"Diet"
"51","single_serving_of_milk_cheese_consumption_frequency",1,1642.72734982116,1642.72734982116,1.21586003208168,1.30434888619085,0.1188,94,0.203259459459459,"Diet"
"52","dairy_substitute_consumption_frequency",1,1186.02396277103,1186.02396277103,0.875717310041112,0.932847529834474,0.7399,95,0.773863333333333,"Diet"
"53","salted_snack_consumption_frequency",1,1619.9245537405,1619.9245537405,1.20613001029382,1.29404579952049,0.1275,94,0.208026315789474,"Diet"
